advocacy	advocacy%1:04:00::
responsiveness	responsiveness%1:09:00::
storyteller	storyteller%1:18:00::
verisimilitude	verisimilitude%1:07:00::
fluorescence	fluorescence%1:19:00::
claret	claret%1:07:00::
sassing	sassing%1:10:00::
ligament	ligament%1:08:00::
mingling	mingling%1:04:00::
fraternisation	fraternisation%1:04:00::
assassin	assassin%1:18:00::
miscegenation	miscegenation%1:04:00::
marrow	marrow%1:08:00::
manhood	manhood%1:26:00::
visibility	visibility%1:07:00::
sneaker	sneaker%1:06:00::
barbiturate	barbiturate%1:06:00::
morphophonemics	morphophonemics%1:09:00::
verdict	verdict%1:04:00::
cicada	cicada%1:05:00::
hedonism	hedonism%1:16:00::
elasticity	elasticity%1:07:00::
patter	patter%1:10:00::
velour	velour%1:06:00::
menarche	menarche%1:11:00::
interrelation	interrelation%1:24:00::
infirmary	infirmary%1:06:00::
contusion	contusion%1:26:00::
knowledge	knowledge%1:03:00::
training	training%1:04:00::
sicily	sicily%1:15:00::
boulevard	boulevard%1:06:00::
rousseau	rousseau%1:18:00::
sociability	sociability%1:07:00::
dissemination	dissemination%1:10:00::
razor	razor%1:06:00::
manners	manners%1:07:00::
bookcase	bookcase%1:06:00::
remonstrance	remonstrance%1:10:00::
wastewater	wastewater%1:27:00::
tibet	tibet%1:15:00::
aristotle	aristotle%1:18:00::
entrant	entrant%1:06:00::
tally	tally%1:04:01::
horselaugh	horselaugh%1:10:00::
fireplace	fireplace%1:06:01::
synagogue	synagogue%1:06:00::
abstention	abstention%1:07:00::
lamplight	lamplight%1:19:00::
alderman	alderman%1:18:00::
impunity	impunity%1:26:00::
ingroup	ingroup%1:14:00::
pbs	pbs%1:27:00::
talks	talks%1:10:00::
simulation	simulation%1:04:01::
incubus	incubus%1:18:00::
flattery	flattery%1:10:00::
decorum	decorum%1:07:00::
custodian	custodian%1:18:00::
linden	linden%1:20:02::
lexicostatistics	lexicostatistics%1:09:00::
pap	pap%1:10:00::
mutiny	mutiny%1:04:00::
euphoria	euphoria%1:12:00::
tubing	tubing%1:06:00::
eluate	eluate%1:27:00::
self-indulgence	self-indulgence%1:07:00::
cheerfulness	cheerfulness%1:07:00::
sensor	sensor%1:06:00::
screenplay	screenplay%1:10:00::
terrorist	terrorist%1:18:00::
alerting	alerting%1:26:00::
householder	householder%1:18:00::
anorexia	anorexia%1:26:00::
supermarket	supermarket%1:06:00::
septum	septum%1:08:00::
pew	pew%1:06:00::
self-awareness	self-awareness%1:09:00::
neutrophil	neutrophil%1:08:00::
pea	pea%1:13:00::
dosage	dosage%1:23:00::
headmaster	headmaster%1:18:00::
reelection	reelection%1:04:00::
propylthiouracil	propylthiouracil%1:27:00::
radiochlorine	radiochlorine%1:27:00::
diligence	diligence%1:07:01::
peg	peg%1:06:00::
dyeing	dyeing%1:04:00::
glimmer	glimmer%1:11:00::
remainder	remainder%1:24:00::
fusion	fusion%1:11:00::
novitiate	novitiate%1:28:00::
denomination	denomination%1:14:00::
paranoiac	paranoiac%1:18:00::
checkup	checkup%1:04:00::
moneymaking	moneymaking%1:04:00::
incompatibility	incompatibility%1:24:02::
organification	organification%1:22:00::
laxness	laxness%1:07:00::
animosity	animosity%1:12:00::
antelope	antelope%1:05:00::
susceptibility	susceptibility%1:26:00::
preacher	preacher%1:18:00::
bevy	bevy%1:14:01::
tribute	tribute%1:10:01::
vienna	vienna%1:15:00::
shipwreck	shipwreck%1:06:00::
macrophage	macrophage%1:08:00::
drizzle	drizzle%1:19:00::
nourishment	nourishment%1:13:00::
penthouse	penthouse%1:06:00::
backbend	backbend%1:04:00::
pie	pie%1:13:00::
puzzlement	puzzlement%1:09:00::
pig	pig%1:05:00::
sherry	sherry%1:13:00::
thrombosis	thrombosis%1:26:00::
presidency	presidency%1:28:00::
berg	berg%1:17:00::
pow	pow%1:18:00::
grandfather	grandfather%1:18:00::
ague	ague%1:26:00::
bern	bern%1:15:00::
tenant	tenant%1:18:00::
olympics	olympics%1:11:00::
crofter	crofter%1:18:00::
consistence	consistence%1:07:02::
precipice	precipice%1:17:00::
whorl	whorl%1:25:00::
applicability	applicability%1:24:00::
whore	whore%1:18:00::
beta	beta%1:10:00::
beneficiary	beneficiary%1:18:00::
diatom	diatom%1:05:00::
betrayal	betrayal%1:04:00::
yugoslavia	yugoslavia%1:15:00::
carton	carton%1:23:00::
reptile	reptile%1:05:00::
streetlight	streetlight%1:06:00::
hypothalamus	hypothalamus%1:08:00::
maggot	maggot%1:05:00::
tactic	tactic%1:09:00::
retina	retina%1:08:00::
psi	psi%1:23:00::
willingness	willingness%1:07:00::
plumpness	plumpness%1:07:00::
rosary	rosary%1:06:00::
strychnine	strychnine%1:27:00::
crust	crust%1:17:00::
encroachment	encroachment%1:11:00::
rearguard	rearguard%1:14:00::
corpse	corpse%1:08:00::
egotism	egotism%1:07:00::
copenhagen	copenhagen%1:15:00::
nonconformist	nonconformist%1:18:01::
egotist	egotist%1:18:00::
quarterback	quarterback%1:18:00::
detergency	detergency%1:07:00::
orchard	orchard%1:06:00::
legitimacy	legitimacy%1:07:00::
sacrament	sacrament%1:04:00::
constellation	constellation%1:09:00::
surveyor	surveyor%1:18:00::
spending	spending%1:04:00::
mercury	mercury%1:27:00::
satin	satin%1:06:00::
hobby	hobby%1:04:00::
woodwork	woodwork%1:06:00::
loblolly	loblolly%1:13:00::
grammarian	grammarian%1:18:00::
sweatshirt	sweatshirt%1:06:00::
pun	pun%1:10:00::
pup	pup%1:05:00::
tsunami	tsunami%1:11:00::
brother-in-law	brother-in-law%1:18:00::
divertimento	divertimento%1:10:00::
cinch	cinch%1:04:01::
hydride	hydride%1:27:00::
honolulu	honolulu%1:15:00::
geology	geology%1:09:00::
beer	beer%1:13:00::
roarer	roarer%1:18:00::
directivity	directivity%1:07:00::
songwriter	songwriter%1:18:00::
bonfire	bonfire%1:11:00::
diving	diving%1:11:00::
wasteland	wasteland%1:15:00::
armful	armful%1:23:00::
showcase	showcase%1:26:00::
sedimentation	sedimentation%1:19:00::
garb	garb%1:06:00::
homogeneity	homogeneity%1:07:00::
self-satisfaction	self-satisfaction%1:12:00::
fingerprinting	fingerprinting%1:04:00::
upheaval	upheaval%1:26:00::
sanctity	sanctity%1:07:00::
coffeehouse	coffeehouse%1:06:00::
handspike	handspike%1:06:00::
pumps	pumps%1:06:00::
gadgetry	gadgetry%1:06:00::
charlatan	charlatan%1:18:00::
interne	interne%1:18:00::
butter	butter%1:13:00::
nostrils	nostrils%1:08:00::
tyrant	tyrant%1:18:00::
mortician	mortician%1:18:00::
dissenter	dissenter%1:18:00::
shrub	shrub%1:20:00::
legation	legation%1:04:00::
tri-iodothyronine	tri-iodothyronine%1:27:00::
burial	burial%1:11:00::
conductivity	conductivity%1:19:00::
stylemark	stylemark%1:07:00::
monologue	monologue%1:10:00::
coating	coating%1:06:00::
fishwife	fishwife%1:18:00::
beau	beau%1:18:00::
bean	bean%1:13:00::
stool	stool%1:06:00::
yokel	yokel%1:18:00::
epistemology	epistemology%1:09:00::
vowel	vowel%1:10:00::
bead	bead%1:06:00::
boxcar	boxcar%1:06:00::
escheat	escheat%1:21:00::
courtyard	courtyard%1:06:00::
teenager	teenager%1:18:00::
gait	gait%1:28:00::
ailment	ailment%1:26:00::
victory	victory%1:11:00::
effluent	effluent%1:27:00::
skylight	skylight%1:06:00::
megaton	megaton%1:23:02::
gymnastics	gymnastics%1:04:00::
waist	waist%1:08:00::
husband	husband%1:18:00::
righteousness	righteousness%1:07:00::
fidelity	fidelity%1:07:02::
pianist	pianist%1:18:00::
pianism	pianism%1:10:00::
houston	houston%1:15:00::
stager	stager%1:18:00::
melioration	melioration%1:04:00::
heating	heating%1:22:00::
basketball	basketball%1:04:00::
politeness	politeness%1:07:00::
hubbub	hubbub%1:11:00::
turnpike	turnpike%1:06:01::
workbench	workbench%1:06:00::
femininity	femininity%1:07:00::
fireman	fireman%1:04:00::
tightening	tightening%1:04:00::
sentry	sentry%1:18:00::
sub-test	sub-test%1:04:00::
portuguese	portuguese%1:10:00::
poseur	poseur%1:18:00::
gauss	gauss%1:23:00::
aridity	aridity%1:07:00::
self-control	self-control%1:04:00::
bodice	bodice%1:06:00::
italic	italic%1:10:02::
jonquil	jonquil%1:20:00::
parallelism	parallelism%1:07:00::
awakening	awakening%1:04:00::
sedan	sedan%1:06:00::
hostility	hostility%1:07:00::
firework	firework%1:06:00::
derrick	derrick%1:06:01::
semblance	semblance%1:07:00::
listener	listener%1:18:00::
zoning	zoning%1:04:00::
seawater	seawater%1:27:00::
governed	governed%1:14:00::
evangelist	evangelist%1:18:00::
bartender	bartender%1:18:00::
commandment	commandment%1:10:00::
composer	composer%1:18:00::
donor	donor%1:18:00::
spouse	spouse%1:18:00::
hangout	hangout%1:15:00::
reevaluation	reevaluation%1:09:00::
deadhead	deadhead%1:18:00::
fantasia	fantasia%1:10:00::
severing	severing%1:04:00::
icelandic	icelandic%1:10:00::
sameness	sameness%1:07:00::
oppression	oppression%1:04:00::
denunciation	denunciation%1:10:00::
outskirts	outskirts%1:15:00::
hare	hare%1:05:00::
firewood	firewood%1:27:00::
compiling	compiling%1:04:00::
millenarianism	millenarianism%1:09:00::
imprisonment	imprisonment%1:04:01::
gladiator	gladiator%1:18:00::
cancer	cancer%1:26:00::
ginmill	ginmill%1:06:00::
sagebrush	sagebrush%1:20:00::
astrophysics	astrophysics%1:09:00::
halo	halo%1:07:00::
louisianan	louisianan%1:18:00::
marginality	marginality%1:07:00::
rationing	rationing%1:04:00::
milligram	milligram%1:23:00::
convection	convection%1:22:01::
hypervelocity	hypervelocity%1:28:00::
plunker	plunker%1:04:00::
malaria	malaria%1:26:00::
shopping	shopping%1:04:00::
killer	killer%1:18:00::
compatriot	compatriot%1:18:00::
skullcap	skullcap%1:06:00::
peony	peony%1:20:00::
truthfulness	truthfulness%1:07:00::
self-defense	self-defense%1:04:00::
devilment	devilment%1:04:00::
cleaning	cleaning%1:04:00::
protease	protease%1:27:00::
tularemia	tularemia%1:26:00::
severity	severity%1:07:01::
thanksgiving	thanksgiving%1:28:00::
plenitude	plenitude%1:07:00::
priming	priming%1:04:01::
agglomeration	agglomeration%1:14:00::
denmark	denmark%1:15:00::
reflectance	reflectance%1:23:00::
indexing	indexing%1:04:00::
diagnosis	diagnosis%1:04:00::
governor	governor%1:18:00::
constatation	constatation%1:09:00::
rig-veda	rig-veda%1:10:00::
conduction	conduction%1:19:00::
arkansas	arkansas%1:15:00::
ecliptic	ecliptic%1:15:00::
dexamethasone	dexamethasone%1:27:00::
dallas	dallas%1:15:00::
t-square	t-square%1:06:00::
bavaria	bavaria%1:15:00::
viewers	viewers%1:14:00::
durability	durability%1:07:00::
bawdyhouse	bawdyhouse%1:06:00::
oxcart	oxcart%1:06:00::
decor	decor%1:06:00::
gentry	gentry%1:14:00::
plainclothesman	plainclothesman%1:18:00::
rhino	rhino%1:05:00::
companionship	companionship%1:26:00::
hasp	hasp%1:06:00::
acetone	acetone%1:27:00::
coquette	coquette%1:18:00::
foreboding	foreboding%1:12:00::
co-worker	co-worker%1:18:00::
wastebasket	wastebasket%1:06:00::
maiden	maiden%1:18:00::
housebreaker	housebreaker%1:18:00::
electromagnet	electromagnet%1:06:00::
grandparent	grandparent%1:18:00::
friendliness	friendliness%1:12:00::
specification	specification%1:10:00::
snowfall	snowfall%1:19:00::
breakable	breakable%1:06:00::
encampment	encampment%1:15:00::
environs	environs%1:15:00::
nashville	nashville%1:15:00::
jimdandy	jimdandy%1:18:00::
thermopile	thermopile%1:06:00::
maria	maria%1:17:00::
defender	defender%1:18:00::
retreated	retreated%1:14:00::
commerce	commerce%1:04:00::
phonemics	phonemics%1:09:00::
paleocortex	paleocortex%1:08:00::
springfield	springfield%1:15:00::
longing	longing%1:12:00::
sweden	sweden%1:15:00::
jesuit	jesuit%1:18:00::
drainage	drainage%1:04:00::
shoelace	shoelace%1:06:00::
veranda	veranda%1:06:00::
gristmill	gristmill%1:06:00::
cilium	cilium%1:05:00::
wetting	wetting%1:04:00::
treasurer	treasurer%1:18:00::
attica	attica%1:15:00::
rope	rope%1:06:00::
walrus	walrus%1:05:00::
partnership	partnership%1:14:00::
ghetto	ghetto%1:15:00::
curriculum	curriculum%1:10:00::
lager	lager%1:06:00::
gnome	gnome%1:18:00::
vacuolization	vacuolization%1:26:00::
texas	texas%1:15:00::
hydrocarbon	hydrocarbon%1:27:00::
texan	texan%1:18:00::
periwinkle	periwinkle%1:20:01::
dispersal	dispersal%1:04:00::
corticosteroid	corticosteroid%1:27:00::
cottage	cottage%1:06:00::
sobriety	sobriety%1:26:00::
b-52	b-52%1:06:00::
bottomland	bottomland%1:17:00::
laboratory	laboratory%1:06:00::
relentlessness	relentlessness%1:07:00::
assessment	assessment%1:09:00::
mucosa	mucosa%1:08:00::
spoilables	spoilables%1:13:00::
stenography	stenography%1:10:00::
daisy	daisy%1:20:00::
rotc	rotc%1:14:00::
desynchronizing	desynchronizing%1:24:00::
slogan	slogan%1:10:00::
ring-around-a-rosy	ring-around-a-rosy%1:04:00::
asphalt	asphalt%1:27:02::
hilt	hilt%1:06:00::
dairy	dairy%1:06:00::
disclosure	disclosure%1:10:00::
knoll	knoll%1:17:00::
europe	europe%1:17:00::
oxygen	oxygen%1:27:00::
voter	voter%1:18:00::
acquisition	acquisition%1:04:00::
babylonian	babylonian%1:18:00::
lockup	lockup%1:06:00::
september	september%1:28:00::
evocation	evocation%1:09:00::
pollution	pollution%1:26:00::
cigar	cigar%1:06:00::
broadside	broadside%1:10:00::
guitar	guitar%1:06:00::
luminosity	luminosity%1:07:00::
freeway	freeway%1:06:00::
martyr	martyr%1:18:00::
lodgings	lodgings%1:06:00::
physicist	physicist%1:18:00::
abolitionist	abolitionist%1:18:00::
crusher	crusher%1:06:00::
philanthropist	philanthropist%1:18:00::
sophisticate	sophisticate%1:18:00::
pretext	pretext%1:10:00::
phloem	phloem%1:20:00::
classmate	classmate%1:18:00::
playback	playback%1:04:00::
potassium	potassium%1:27:00::
rudder	rudder%1:06:01::
parakeet	parakeet%1:05:00::
plasticity	plasticity%1:07:00::
pantry	pantry%1:06:00::
parenthood	parenthood%1:26:00::
hatching	hatching%1:22:00::
spokesman	spokesman%1:18:00::
omen	omen%1:11:00::
mainland	mainland%1:17:00::
evaporation	evaporation%1:22:00::
superstition	superstition%1:09:00::
sprinkling	sprinkling%1:23:00::
marksman	marksman%1:18:00::
drunkard	drunkard%1:18:00::
velvet	velvet%1:06:00::
claimant	claimant%1:18:00::
groundwork	groundwork%1:09:00::
coaching	coaching%1:04:00::
gourd	gourd%1:06:00::
candle	candle%1:06:00::
puncher	puncher%1:18:00::
haystack	haystack%1:14:00::
aperture	aperture%1:06:01::
meditation	meditation%1:09:00::
slain	slain%1:14:00::
capacitor	capacitor%1:06:00::
accordance	accordance%1:10:00::
elimination	elimination%1:04:02::
fingerprint	fingerprint%1:10:01::
denver	denver%1:15:00::
citizen	citizen%1:18:00::
prairie	prairie%1:15:00::
minutia	minutia%1:09:00::
nun	nun%1:18:00::
gallantry	gallantry%1:07:00::
nubbin	nubbin%1:17:00::
kleenex	kleenex%1:27:00::
dipole	dipole%1:17:00::
granny	granny%1:18:00::
lantern	lantern%1:06:00::
junkyard	junkyard%1:15:00::
germany	germany%1:15:00::
in-fighting	in-fighting%1:04:01::
siamese	siamese%1:10:00::
tulip	tulip%1:20:00::
illinois	illinois%1:15:00::
turbulence	turbulence%1:19:00::
leaving	leaving%1:04:00::
injustice	injustice%1:04:00::
vinyl	vinyl%1:27:00::
lending	lending%1:04:00::
stagnation	stagnation%1:26:00::
entrepreneur	entrepreneur%1:18:00::
myth	myth%1:10:00::
discontent	discontent%1:12:00::
attire	attire%1:06:00::
whisky	whisky%1:13:00::
skeet	skeet%1:04:00::
magnet	magnet%1:06:00::
musicianship	musicianship%1:09:00::
airs	airs%1:07:00::
entirety	entirety%1:26:00::
vermouth	vermouth%1:13:00::
contingent	contingent%1:14:01::
certificate	certificate%1:10:00::
typing	typing%1:10:00::
lineup	lineup%1:10:00::
shinbone	shinbone%1:08:00::
coolant	coolant%1:27:00::
elite	elite%1:14:00::
misconception	misconception%1:09:00::
nov	nov%1:28:00::
coordinator	coordinator%1:18:00::
dirge	dirge%1:10:00::
ping-pong	ping-pong%1:04:00::
headgear	headgear%1:06:00::
filipino	filipino%1:18:00::
inadvertence	inadvertence%1:09:00::
launcher	launcher%1:06:00::
unselfishness	unselfishness%1:07:00::
no.	no.%1:23:00::
goitre	goitre%1:26:00::
dishwater	dishwater%1:27:00::
beggar	beggar%1:18:00::
dugout	dugout%1:06:01::
tollhouse	tollhouse%1:06:00::
evildoer	evildoer%1:18:00::
transit	transit%1:06:00::
doorknob	doorknob%1:06:00::
concord	concord%1:15:00::
reliving	reliving%1:09:00::
monsieur	monsieur%1:18:00::
guidepost	guidepost%1:09:00::
sniveling	sniveling%1:04:00::
holystone	holystone%1:17:00::
pundit	pundit%1:18:00::
restaurant	restaurant%1:06:00::
fairway	fairway%1:15:00::
underling	underling%1:18:00::
dialysis	dialysis%1:04:00::
switzerland	switzerland%1:15:00::
premiere	premiere%1:10:00::
eyeshadow	eyeshadow%1:06:00::
bushel	bushel%1:23:02::
egypt	egypt%1:15:00::
lummox	lummox%1:18:00::
teamster	teamster%1:18:02::
bootlegger	bootlegger%1:18:00::
irritability	irritability%1:12:00::
flocculation	flocculation%1:22:00::
meaningfulness	meaningfulness%1:07:00::
bluestocking	bluestocking%1:18:00::
hypocrite	hypocrite%1:18:00::
toddy	toddy%1:13:00::
waxing	waxing%1:04:00::
estuary	estuary%1:17:00::
purification	purification%1:04:00::
nondriver	nondriver%1:18:00::
accusation	accusation%1:10:00::
letters	letters%1:09:00::
wineglass	wineglass%1:06:00::
flyer	flyer%1:10:00::
beatnik	beatnik%1:18:00::
interplay	interplay%1:04:00::
arousal	arousal%1:04:00::
fantasist	fantasist%1:18:00::
statesmanship	statesmanship%1:07:00::
liveliness	liveliness%1:04:00::
touchstone	touchstone%1:10:00::
railing	railing%1:06:00::
typhus	typhus%1:26:00::
disservice	disservice%1:04:00::
ducking	ducking%1:04:01::
desolation	desolation%1:26:00::
oversimplification	oversimplification%1:04:00::
oct	oct%1:28:00::
footpath	footpath%1:06:00::
employer	employer%1:18:00::
disloyalty	disloyalty%1:07:00::
doorbell	doorbell%1:06:00::
sushi	sushi%1:13:00::
deceleration	deceleration%1:07:00::
employee	employee%1:18:00::
pond	pond%1:17:00::
reclassification	reclassification%1:04:00::
substation	substation%1:06:00::
uninitiate	uninitiate%1:14:00::
nitrate	nitrate%1:27:00::
vaccine	vaccine%1:06:00::
plasterer	plasterer%1:18:00::
infiltration	infiltration%1:04:00::
museum	museum%1:06:00::
roadway	roadway%1:06:00::
negotiation	negotiation%1:10:00::
parenthesis	parenthesis%1:10:00::
pension	pension%1:21:00::
abundance	abundance%1:07:00::
mosquito	mosquito%1:05:00::
cadaver	cadaver%1:08:00::
icicle	icicle%1:27:00::
phonetics	phonetics%1:09:00::
dawning	dawning%1:28:00::
osteoporosis	osteoporosis%1:26:00::
oat	oat%1:20:00::
putout	putout%1:04:00::
fielder	fielder%1:18:00::
cornfield	cornfield%1:15:00::
niece	niece%1:18:00::
partition	partition%1:06:00::
continuance	continuance%1:04:00::
dejection	dejection%1:26:00::
republic	republic%1:14:00::
one-upmanship	one-upmanship%1:04:00::
chastisement	chastisement%1:04:00::
minuet	minuet%1:04:00::
pizza	pizza%1:13:00::
embodiment	embodiment%1:18:00::
fruitfulness	fruitfulness%1:07:00::
primates	primates%1:05:00::
quatrain	quatrain%1:10:00::
subfigure	subfigure%1:25:00::
warehousing	warehousing%1:04:00::
poet	poet%1:18:00::
poem	poem%1:10:00::
nightdress	nightdress%1:06:00::
contraction	contraction%1:04:01::
thermistor	thermistor%1:06:00::
juice	juice%1:13:00::
imposition	imposition%1:04:02::
kitchen	kitchen%1:06:00::
reveller	reveller%1:18:00::
supper	supper%1:13:00::
owl	owl%1:05:00::
mulch	mulch%1:06:00::
bickering	bickering%1:10:00::
bucket	bucket%1:06:00::
contraceptive	contraceptive%1:06:00::
predecessor	predecessor%1:18:00::
incorruptibility	incorruptibility%1:07:00::
festival	festival%1:28:00::
belle	belle%1:18:00::
campfire	campfire%1:11:00::
thoreau	thoreau%1:18:00::
introject	introject%1:09:00::
tumor	tumor%1:26:00::
adaptation	adaptation%1:10:00::
penutian	penutian%1:10:00::
weir	weir%1:06:00::
husbandry	husbandry%1:04:00::
robustness	robustness%1:07:00::
butterfat	butterfat%1:27:00::
machinist	machinist%1:18:00::
grocery	grocery%1:06:00::
earthquake	earthquake%1:11:00::
marsh	marsh%1:17:00::
livelihood	livelihood%1:21:00::
vitals	vitals%1:08:00::
geographer	geographer%1:18:00::
excursion	excursion%1:04:00::
landrover	landrover%1:06:00::
castanets	castanets%1:06:00::
sadism	sadism%1:12:00::
wreath	wreath%1:06:00::
christ	christ%1:18:00::
beehive	beehive%1:06:01::
rancor	rancor%1:12:00::
classics	classics%1:09:00::
shopkeeper	shopkeeper%1:18:00::
catecholamine	catecholamine%1:27:00::
individuality	individuality%1:07:00::
rudeness	rudeness%1:07:00::
emphysema	emphysema%1:26:00::
trucking	trucking%1:04:00::
buckskin	buckskin%1:05:00::
individualist	individualist%1:18:00::
inquisitor	inquisitor%1:18:00::
trainman	trainman%1:18:00::
contraception	contraception%1:04:00::
potpourri	potpourri%1:14:00::
revulsion	revulsion%1:12:00::
earnestness	earnestness%1:12:00::
jurist	jurist%1:18:00::
cricket	cricket%1:05:00::
airplane	airplane%1:06:00::
pouch	pouch%1:06:00::
supervisor	supervisor%1:18:00::
inkling	inkling%1:09:00::
catharsis	catharsis%1:04:00::
pachinko	pachinko%1:04:00::
barnburner	barnburner%1:18:00::
tendon	tendon%1:08:00::
ore	ore%1:27:00::
pollen	pollen%1:20:00::
mediterranean	mediterranean%1:17:00::
velocity	velocity%1:28:00::
india	india%1:15:00::
migration	migration%1:04:00::
livestock	livestock%1:05:00::
orb	orb%1:08:00::
yardstick	yardstick%1:10:00::
caterpillar	caterpillar%1:05:00::
parisology	parisology%1:10:00::
curiosity	curiosity%1:09:00::
wickedness	wickedness%1:04:00::
malingering	malingering%1:04:00::
dipper	dipper%1:06:00::
stiffening	stiffening%1:04:00::
clearance	clearance%1:07:00::
undergraduate	undergraduate%1:18:00::
at-bat	at-bat%1:04:00::
genesis	genesis%1:11:00::
wreckage	wreckage%1:06:00::
piazza	piazza%1:15:00::
barb	barb%1:10:00::
fairyland	fairyland%1:09:00::
seminary	seminary%1:14:01::
barn	barn%1:06:00::
lordship	lordship%1:10:00::
loveliness	loveliness%1:07:00::
porosity	porosity%1:07:00::
grappling	grappling%1:04:00::
resumption	resumption%1:04:00::
massachuset	massachuset%1:10:00::
fondness	fondness%1:12:01::
inaction	inaction%1:26:00::
reverberation	reverberation%1:07:00::
microcosm	microcosm%1:09:00::
scrapheap	scrapheap%1:15:00::
soutane	soutane%1:06:00::
bash	bash%1:11:00::
coefficient	coefficient%1:23:00::
trumpeter	trumpeter%1:18:00::
gateway	gateway%1:06:00::
ditch	ditch%1:06:00::
ex-gambler	ex-gambler%1:18:00::
tang	tang%1:07:00::
boatswain	boatswain%1:18:00::
peddler	peddler%1:18:00::
friendship	friendship%1:26:00::
parasite	parasite%1:05:00::
gentleman	gentleman%1:18:00::
economics	economics%1:09:00::
waterfront	waterfront%1:15:00::
softness	softness%1:07:00::
sidewalk	sidewalk%1:06:00::
electrocardiograph	electrocardiograph%1:06:00::
stimulus	stimulus%1:09:00::
travelogue	travelogue%1:10:00::
lab	lab%1:06:00::
bandstand	bandstand%1:06:00::
moviegoer	moviegoer%1:18:00::
lat	lat%1:08:00::
straggler	straggler%1:18:00::
precision	precision%1:07:00::
reimbursement	reimbursement%1:21:00::
fieldstone	fieldstone%1:27:00::
sojourn	sojourn%1:04:00::
refocusing	refocusing%1:04:00::
sacramento	sacramento%1:15:00::
phenothiazine	phenothiazine%1:27:00::
tweed	tweed%1:06:00::
substitution	substitution%1:11:00::
dervish	dervish%1:18:00::
sculptor	sculptor%1:18:00::
quackery	quackery%1:04:00::
accomplishment	accomplishment%1:04:00::
inflation	inflation%1:22:00::
jibe	jibe%1:10:00::
shore	shore%1:17:00::
betterment	betterment%1:11:00::
fiber	fiber%1:27:00::
contrabass	contrabass%1:06:00::
snuffer	snuffer%1:06:01::
ardor	ardor%1:12:01::
lackey	lackey%1:18:00::
claustrophobia	claustrophobia%1:26:00::
segment	segment%1:06:00::
dragon	dragon%1:18:02::
reproduction	reproduction%1:22:00::
provisions	provisions%1:13:00::
foreman	foreman%1:18:00::
cocoon	cocoon%1:05:00::
revolt	revolt%1:04:00::
applicant	applicant%1:18:00::
manumission	manumission%1:04:00::
call-board	call-board%1:06:00::
non-discrimination	non-discrimination%1:07:00::
slinging	slinging%1:04:00::
boxer	boxer%1:18:00::
barrack	barrack%1:06:00::
subterfuge	subterfuge%1:10:00::
wife	wife%1:18:00::
locality	locality%1:15:00::
capacitance	capacitance%1:19:00::
megalomania	megalomania%1:26:00::
dissension	dissension%1:10:00::
garbage	garbage%1:27:00::
rutabaga	rutabaga%1:13:00::
sabine	sabine%1:17:00::
sunshine	sunshine%1:19:00::
supplier	supplier%1:18:00::
pelvis	pelvis%1:08:00::
vexation	vexation%1:12:00::
dispossession	dispossession%1:04:00::
wanderer	wanderer%1:18:00::
khmer	khmer%1:10:00::
barnyard	barnyard%1:06:00::
gardener	gardener%1:18:00::
pen-and-ink	pen-and-ink%1:06:00::
sunday	sunday%1:28:00::
blotch	blotch%1:07:00::
ascendancy	ascendancy%1:26:00::
greens	greens%1:13:00::
remission	remission%1:11:00::
babe	babe%1:18:00::
correctness	correctness%1:07:01::
parachute	parachute%1:06:00::
moderation	moderation%1:07:00::
talking	talking%1:10:00::
runoff	runoff%1:11:00::
lucifer	lucifer%1:18:00::
periodicity	periodicity%1:07:00::
kindergarten	kindergarten%1:14:00::
undertaker	undertaker%1:18:00::
thuggee	thuggee%1:04:00::
values	values%1:09:00::
courtesy	courtesy%1:04:00::
fender	fender%1:06:01::
wonderfulness	wonderfulness%1:07:00::
formalism	formalism%1:09:01::
cylinder	cylinder%1:25:02::
thesis	thesis%1:10:00::
tidings	tidings%1:10:00::
forwarding	forwarding%1:04:01::
bricklayer	bricklayer%1:18:00::
ditty	ditty%1:10:00::
matriarch	matriarch%1:18:00::
malfeasant	malfeasant%1:18:00::
irrigation	irrigation%1:04:00::
underwear	underwear%1:06:00::
inflow	inflow%1:22:00::
telepathy	telepathy%1:10:00::
laity	laity%1:14:00::
manipulation	manipulation%1:04:00::
oleander	oleander%1:20:00::
purgatory	purgatory%1:26:00::
melodrama	melodrama%1:10:00::
diaper	diaper%1:06:00::
corporation	corporation%1:14:00::
backdrop	backdrop%1:06:00::
martini	martini%1:13:00::
citation	citation%1:10:00::
insularity	insularity%1:26:00::
outcast	outcast%1:18:00::
participant	participant%1:18:00::
pixie	pixie%1:18:00::
apartment	apartment%1:06:00::
millions	millions%1:23:00::
bali	bali%1:15:00::
cache	cache%1:06:00::
bale	bale%1:06:00::
bedtime	bedtime%1:28:00::
unemployment	unemployment%1:26:00::
pirogue	pirogue%1:06:00::
indianapolis	indianapolis%1:15:00::
repayment	repayment%1:04:00::
logging	logging%1:04:00::
facade	facade%1:06:00::
necropsy	necropsy%1:04:00::
pork	pork%1:13:00::
manometer	manometer%1:06:00::
ile-de-france	ile-de-france%1:15:00::
protoplasm	protoplasm%1:08:00::
hermeneutics	hermeneutics%1:09:00::
availability	availability%1:07:00::
lip	lip%1:08:00::
greece	greece%1:15:00::
motherland	motherland%1:15:00::
lid	lid%1:08:00::
willpower	willpower%1:07:00::
